creator_name,niche,region,avg_views,engagement_rate,audience_age,content_style,brand_safety_score,past_campaign_type,estimated_cost
CampusKev,college humor,US,120000,7.4,18-24,funny skits,88,food and beverage,1800
MayaFit,fitness,US,85000,6.8,18-28,energetic product demo,92,wellness,1200
TechWithRafi,tech,US,65000,5.9,20-34,review explainer,95,apps software,1500
DormRoomDana,college lifestyle,US,70000,6.2,18-24,day in the life,90,student products,1000
BeautyByNora,beauty,US,140000,5.7,18-30,GRWM tutorial,91,skincare beauty,2200
FoodieJay,food,US,110000,7.1,18-34,taste test reaction,87,restaurants snacks,1600
FitFinanceSam,personal finance,US,50000,4.9,22-35,educational explainer,94,fintech apps,1300
StyleMina,fashion,US,95000,6.5,18-29,outfit transition,89,apparel,1700
GamingLeo,gaming,US,130000,6.9,16-28,live reaction,85,gaming tech,2000
WellnessTara,wellness,US,60000,5.8,22-34,calm routine,96,health wellness,1400